Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,307.80","2.19%","1,291.90","84,12,537","17,69,785.41","18.09","8.34","1,611.80","1,253.20","3.04%","-1.67%","-13.90%","5.34%","39.10%","1.92","0.47%","8.54%","9.18%","101.61","1,335.72","1,416.22","49.37","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","824.95","0.91%","824.00","2,35,95,785","12,70,489.78","15.90","21.00","1,020.50","726.65","11.73%","3.42%","-17.96%","-0.40%","9.85%","2.17","1.89%","13.93%","6.38%","89.49","776.59","889.59","63.70","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,920.40","-0.55%","1,930.00","64,20,887","11,70,153.37","35.62","42.37","2,174.50","1,740.50","6.75%","3.28%","-4.92%","116.90%","264.84%","6.80","1.21%","8.11%","18.01%","21.42","1,856.29","1,951.55","58.54","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,401.20","1.48%","1,389.70","64,09,645","10,05,151.50","17.11","21.00","1,500.00","1,187.60","9.90%","9.36%","-2.14%","47.74%","119.43%","2.78","0.87%","16.67%","6.13%","64.38","1,305.09","1,344.98","62.40","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,036.00","1.36%","1,029.50","87,92,150","9,56,291.98","10.88","8.71","1,234.70","786.55","3.32%","-0.48%","27.75%","74.82%","144.48%","1.68","1.70%","15.83%","5.16%","81.94","1,008.88","1,011.04","54.50","78.00%","90.35%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,069.00","0.95%","2,105.20","67,14,551","7,48,582.31","14.80","25.01","3,414.00","1,976.80","-3.81%","-20.08%","-38.86%","-36.77%","-35.51%","6.90","5.37%","50.48%","54.93%","131.54","2,226.20","2,749.67","43.04","78.00%","89.44%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","1,020.50","1.66%","1,010.10","70,39,305","6,35,358.64","32.31","23.37","1,102.50","787.90","15.06%","12.98%","8.49%","35.47%","66.31%","5.48","0.60%","18.84%","10.98%","241.14","944.61","969.19","62.97","76.00%","88.37%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","443.05","1.05%","440.00","32,38,469","5,60,458.05","9.66","23.37","476.50","360.75","9.69%","11.68%","-6.33%","43.25%","1.24%","3.14","1.14%","49.36%","0.98%","66.13","413.09","423.25","62.76","76.00%","87.50%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,945.80","1.54%","3,905.00","12,83,990","5,42,835.22","28.22","-6.21","4,440.00","3,288.10","1.16%","1.27%","10.23%","61.80%","163.12%","4.89","0.98%","15.18%","16.35%","96.60","4,021.69","3,953.56","41.23","76.00%","89.41%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,150.60","0.28%","2,151.50","16,65,179","5,05,303.10","33.45","37.06","2,705.09","2,022.50","0.83%","0.82%","-9.78%","-17.70%","-10.82%","10.34","1.91%","19.99%","22.15%","43.99","2,196.25","2,306.40","46.09","78.00%","91.00%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,935.50","-0.17%","1,942.80","14,78,172","4,64,391.28","40.42","27.16","1,952.00","1,548.00","8.80%","12.72%","15.94%","85.22%","189.79%","5.57","0.83%","14.38%","17.94%","43.95","1,843.74","1,748.39","69.33","78.00%","91.00%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","13,854.00","0.92%","13,800.00","4,30,154","4,35,573.33","29.40","40.56","17,370.00","12,201.00","5.59%","1.95%","11.10%","42.29%","86.57%","4.03","1.02%","15.75%","19.54%","467.71","13,448.36","14,779.55","52.22","78.00%","90.27%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,068.00","1.64%","1,075.00","97,47,266","4,33,314.93","14.46","25.01","1,728.00","982.40","-9.51%","-19.80%","-34.63%","-19.65%","-31.67%","4.84","4.57%","29.67%","38.99%","64.20","1,129.28","1,385.49","46.51","78.00%","88.13%"
"Adani Power","https://scanx.trade/company/adani-power-ltd","218.45","0.98%","218.50","2,61,96,232","4,21,274.16","32.14","23.78","254.20","110.45","-3.40%","26.76%","81.39%","351.25%","897.03%","6.72","-","48.28%","15.47%","41.44","225.59","170.67","43.88","60.00%","82.78%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,828.10","1.56%","1,800.10","14,89,787","4,21,186.76","32.43","-34.85","1,891.10","1,290.50","0.09%","26.30%","26.69%","153.87%","150.94%","4.32","0.42%","15.69%","11.50%","46.34","1,793.37","1,546.42","52.90","75.01%","80.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,323.70","2.09%","1,304.00","35,49,139","4,11,723.60","15.22","21.00","1,418.30","1,042.50","2.42%","0.39%","13.65%","37.31%","77.12%","1.89","0.08%","16.77%","5.47%","86.46","1,304.77","1,276.94","48.11","78.00%","90.50%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","3,157.30","2.39%","3,105.00","21,45,335","4,10,734.74","41.95","14.76","3,245.00","1,753.00","5.95%","54.73%","26.08%","35.12%","127.52%","4.41","0.04%","7.45%","9.64%","37.44","2,862.54","2,387.52","60.83","71.37%","80.00%"
"Titan","https://scanx.trade/company/titan-ltd","4,584.40","0.63%","4,578.60","6,52,646","4,06,996.69","79.72","107.24","4,679.80","3,303.10","11.68%","3.26%","33.57%","50.53%","166.44%","25.76","0.33%","37.22%","38.43%","38.91","4,271.67","4,051.06","65.82","78.00%","90.31%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,129.40","1.43%","3,109.00","18,14,898","3,89,149.91","20.60","40.56","3,839.90","2,896.00","4.66%","-1.18%","-1.48%","101.71%","305.60%","4.12","1.03%","15.83%","17.26%","88.80","3,111.26","3,388.32","51.65","76.00%","88.35%"
